"main", "68", "ClientA2.java:32", "Variable Delete", " method=ClientA2#main:1 <name=received,type=java.lang.String (id=25),value=<?>,index=8>"
"main", "69", "ClientA2.java:34", "Line Step", " file=ClientA2.java, line=34"
"main", "70", "ClientA2.java:34", "Variable Write", " context=ClientA2#main:1, dis=java.io.DataInputStream (id=69)"
"main", "71", "ClientA2.java:35", "Line Step", " file=ClientA2.java, line=35"
"main", "72", "ClientA2.java:36", "Line Step", " file=ClientA2.java, line=36"
"main", "73", "ClientA2.java:36", "Variable Write", " context=ClientA2#main:1, tosend=""Exit"""
"main", "74", "ClientA2.java:37", "Line Step", " file=ClientA2.java, line=37"
"main", "75", "ClientA2.java:37", "Variable Write", " context=ClientA2#main:1, dos=java.io.DataOutputStream (id=71)"
"main", "76", "ClientA2.java:38", "Line Step", " file=ClientA2.java, line=38"
"main", "77", "ClientA2.java:42", "Line Step", " file=ClientA2.java, line=42"
"main", "78", "ClientA2.java:44", "Line Step", " file=ClientA2.java, line=44"
"main", "79", "ClientA2.java:45", "Line Step", " file=ClientA2.java, line=45"
"main", "80", "ClientA2.java:47", "Line Step", " file=ClientA2.java, line=47"
"main", "81", "ClientA2.java:48", "Line Step", " file=ClientA2.java, line=48"
"main", "82", "ClientA2.java:57", "Line Step", " file=ClientA2.java, line=57"
"main", "83", "ClientA2.java:57", "Variable Delete", " method=ClientA2#main:1 <name=dis,type=java.io.DataInputStream (unresolved),value=<?>,index=5>"
"main", "84", "ClientA2.java:57", "Variable Delete", " method=ClientA2#main:1 <name=tosend,type=java.lang.String (id=25),value=<?>,index=6>"
"main", "85", "ClientA2.java:57", "Variable Delete", " method=ClientA2#main:1 <name=dos,type=java.io.DataOutputStream (unresolved),value=<?>,index=7>"
"main", "86", "ClientA2.java:60", "Line Step", " file=ClientA2.java, line=60"
"main", "87", "ClientA2.java:63", "Line Step", " file=ClientA2.java, line=63"
"main", "88", "ClientA2.java:63", "Method Exit", " returner=ClientA2#main:1, value=<void>"
"main", "89", "ClientA2.java:18", "Method Returned", " "
"main", "90", "SYSTEM", "Thread End", " "
"SYSTEM", "91", "SYSTEM", "System End", " "
